Tabela_ID;Titulo_Tabela;Categoria;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";18 ou 19 anos;3.6;7.3;5.2;7.8;12.5;14.7
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";20 a 24 anos;2.7;4.4;4.2;6.2;10;10.4
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";25 a 29 anos;2.9;5.5;4.3;6.5;10.3;10.9
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";30 a 34 anos;2.8;5.3;4.2;6.3;8.6;9.4
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";35 a 39 anos;2.7;5.7;4;5.6;9.8;10.5
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";40 a 44 anos;2.4;5.3;3.4;5.2;8;11.3
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";45 a 49 anos;2.4;6.3;3.5;4.9;7.5;9.2
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";50 a 54 anos;2.4;5.4;3.7;4.6;6.9;8.7
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";55 a 59 anos;2.6;6.7;4;4.7;7.6;11.4
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";60 anos ou mais;1.1;3.1;1.8;1.9;3.1;3.9
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";Mulheres;0;0;0;0;0;0
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";10 a 14 anos;1.4;2.6;2.1;3.1;4.9;4.5
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";15 a 17 anos;2.8;4.5;4;6.8;10.9;10.8
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";18 ou 19 anos;4.3;7.6;6.4;10.4;13.1;20.3
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";20 a 24 anos;3.1;5.1;4.6;8.1;11.4;12.3
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";25 a 29 anos;3.1;5.3;4.5;7.3;12.5;11
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";30 a 34 anos;2.8;6;3.7;7;9.6;10.8
